UID,Chemical,Scientist,Exp No.,Plate No. Pos,Time,Temperature,Date made,Formulas,Final Comps Tom,Code Output
78,Na0.5MnO2,FT,2,8.3,6,950,14/11/2024,"{'Na': 0.5, 'Mn': 1, 'O': 2.0}",Na:1:0.5;O:-2:2;Mn:3:0.5;Mn:4:0.5;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;Mn:3:0.5;Mn:4:0.5;FinalChargeBalance:0.0
79,Na0.5NiO2,FT,2,8.4,6,950,14/11/2024,"{'Na': 0.5, 'Ni': 1, 'O': 2.0}",Na:1:0.5;O:-2:2;Ni:2:0.25;Ni:4:0.75;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;Ni:2:0.25;Ni:4:0.75;FinalChargeBalance:0.0
80,Na0.5Cu0.5Fe0.5O2,FT,2,8.5,6,950,14/11/2024,"{'Na': 0.5, 'Cu': 0.5, 'Fe': 0.5, 'O': 2.0}",Na:1:0.5;Cu:2:0.5;Fe:3:0.5;O:-2:2;FinalChargeBalance:-1,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
81,Na0.5Cu0.5Mn0.5O2,FT,2,8.6,6,950,14/11/2024,"{'Na': 0.5, 'Cu': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.5;Cu:2:0.5;O:-2:2;Mn:4:0.333;Mn:7:0.167;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;Mn:7:0.5;FinalChargeBalance:0.0
82,Na0.5Cu0.5Ni0.5O2,FT,2,8.7,6,950,14/11/2024,"{'Na': 0.5, 'Cu': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.5;Cu:2:0.5;Ni:4:0.5;O:-2:2;FinalChargeBalance:-0.5,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
83,Na0.5Fe0.5Mn0.5O2,FT,2,8.8,6,950,14/11/2024,"{'Na': 0.5, 'Fe': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.5;Fe:3:0.5;O:-2:2;Mn:4:0.5;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;Mn:7:0.5;FinalChargeBalance:0.0
84,Na0.5Fe0.5Ni0.5O2,FT,2,8.9,6,950,14/11/2024,"{'Na': 0.5, 'Fe': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.5;Ni:4:0.5;O:-2:2;Fe:3:0.5;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
85,Na0.5Mn0.5Ni0.5O2,FT,2,8.1,6,950,14/11/2024,"{'Na': 0.5, 'Mn': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.5;Mn:3:0.5;O:-2:2;Ni:4:0.5;FinalChargeBalance:0,Na:1:0.5;Mn:3:0.5;O:-2:2.0;Ni:4:0.5;FinalChargeBalance:0.0
86,Na0.5Cu0.3Fe0.3Mn0.3O2,FT,2,7.1,6,950,14/11/2024,"{'Na': 0.5, 'Cu': 0.3, 'Fe': 0.3, 'Mn': 0.3, 'O': 2.0}",Na:1:0.5;Cu:2:0.3;Fe:3:0.3;O:-2:2;Mn:4:0.033;Mn:7:0.267;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
87,Na0.5Cu0.3Fe0.3Ni0.3O2,FT,2,7.2,6,950,14/11/2024,"{'Na': 0.5, 'Cu': 0.3, 'Fe': 0.3, 'Ni': 0.3, 'O': 2.0}",Na:1:0.5;Cu:2:0.3;Fe:3:0.3;Ni:4:0.3;O:-2:2;FinalChargeBalance:-0.8,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
88,Na0.5Cu0.3Mn0.3Ni0.3O2,FT,2,7.3,6,950,14/11/2024,"{'Na': 0.5, 'Cu': 0.3, 'Mn': 0.3, 'Ni': 0.3, 'O': 2.0}",Na:1:0.5;Cu:2:0.3;Ni:4:0.3;O:-2:2;Mn:4:0.133;Mn:7:0.167;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
89,Na0.5Fe0.3Mn0.3Ni0.3O2,FT,2,7.4,6,950,14/11/2024,"{'Na': 0.5, 'Fe': 0.3, 'Mn': 0.3, 'Ni': 0.3, 'O': 2.0}",Na:1:0.5;Fe:3:0.3;Ni:4:0.3;O:-2:2;Mn:4:0.233;Mn:7:0.067;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
90,Na0.5Cu0.25Fe0.25Mn0.25Ni0.25O2,FT,2,8.12,6,950,14/11/2024,"{'Na': 0.5, 'Cu': 0.25, 'Fe': 0.25, 'Mn': 0.25, 'Ni': 0.25, 'O': 2.0}",Na:1:0.5;Cu:2:0.25;Fe:3:0.25;Ni:4:0.25;O:-2:2;Mn:4:0.167;Mn:7:0.083;FinalChargeBalance:-0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
91,NaCuO2,FT,3,2.1,3,950,26/11/2024,"{'Na': 1, 'Cu': 1, 'O': 2.0}",Na:1:1;Cu:2:1;O:-2:2;FinalChargeBalance:-1,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
92,NaFeO2,FT,3,2.2,3,950,26/11/2024,"{'Na': 1, 'Fe': 1, 'O': 2.0}",Na:1:1;O:-2:2;Fe:3:1;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Fe:3:1.0;FinalChargeBalance:0.0
93,NaMnO2,FT,3,2.3,3,950,26/11/2024,"{'Na': 1, 'Mn': 1, 'O': 2.0}",Na:1:1;O:-2:2;Mn:3:1;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Mn:3:1.0;FinalChargeBalance:0.0
94,NaNiO2,FT,3,2.4,3,950,26/11/2024,"{'Na': 1, 'Ni': 1, 'O': 2.0}",Na:1:1;O:-2:2;Ni:2:0.5;Ni:4:0.5;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Ni:2:0.5;Ni:4:0.5;FinalChargeBalance:0.0
95,NaCu0.5Fe0.5O2,FT,3,2.5,3,950,26/11/2024,"{'Na': 1, 'Cu': 0.5, 'Fe': 0.5, 'O': 2.0}",Na:1:1;Cu:2:0.5;Fe:3:0.5;O:-2:2;FinalChargeBalance:-0.5,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
96,NaCu0.5Mn0.5O2,FT,3,2.6,3,950,26/11/2024,"{'Na': 1, 'Cu': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:1;Cu:2:0.5;O:-2:2;Mn:4:0.5;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Mn:4:0.167;Mn:7:0.333;FinalChargeBalance:-0.001
97,NaCu0.5Ni0.5O2,FT,3,2.7,3,950,26/11/2024,"{'Na': 1, 'Cu': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:1;Ni:4:0.5;O:-2:2;Cu:2:0.5;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
98,NaFe0.5Mn0.5O2,FT,3,2.8,3,950,26/11/2024,"{'Na': 1, 'Fe': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:1;Mn:3:0.5;O:-2:2;Fe:3:0.5;FinalChargeBalance:0,Na:1:1;Mn:3:0.5;O:-2:2.0;Fe:3:0.5;FinalChargeBalance:0.0
99,NaFe0.5Ni0.5O2,FT,3,2.9,3,950,26/11/2024,"{'Na': 1, 'Fe': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:1;Fe:2:0.5;O:-2:2;Ni:4:0.5;FinalChargeBalance:0,Na:1:1;Fe:2:0.5;O:-2:2.0;Ni:4:0.5;FinalChargeBalance:0.0
100,NaMn0.5Ni0.5O2,FT,3,2.1,3,950,26/11/2024,"{'Na': 1, 'Mn': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:1;Mn:3:0.5;O:-2:2;Ni:2:0.25;Ni:4:0.25;FinalChargeBalance:0,Na:1:1;Mn:3:0.5;O:-2:2.0;Ni:2:0.25;Ni:4:0.25;FinalChargeBalance:0.0
101,NaCu1/3Fe1/3Mn1/3O2,FT,3,1.1,3,950,26/11/2024,"{'Na': 1, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'O': 2.0}",Na:1:1;Cu:2:0.333;Fe:3:0.333;O:-2:2;Mn:4:0.332;Mn:7:0.001;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
102,NaCu1/3Fe1/3Ni1/3O2,FT,3,1.2,3,950,26/11/2024,"{'Na': 1, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:1;Cu:2:0.333;Fe:3:0.333;Ni:4:0.333;O:-2:2;FinalChargeBalance:-0.003,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
103,NaCu1/3Mn1/3Ni1/3O2,FT,3,1.3,3,950,26/11/2024,"{'Na': 1, 'Cu': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:1;Cu:2:0.333;Ni:4:0.333;O:-2:2;Mn:3:0.33;Mn:4:0.003;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
104,NaFe1/3Mn1/3Ni1/3O2,FT,3,1.4,3,950,26/11/2024,"{'Na': 1, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:1;Mn:3:0.333;Ni:4:0.333;O:-2:2;Fe:2:0.33;Fe:3:0.003;FinalChargeBalance:0,Na:1:1;Fe:2:0.333;Mn:3:0.333;O:-2:2.0;Ni:4:0.333;FinalChargeBalance:-0.001
105,NaCu0.25Fe0.25Mn0.25Ni0.25O2,FT,3,2.12,3,950,26/11/2024,"{'Na': 1, 'Cu': 0.25, 'Fe': 0.25, 'Mn': 0.25, 'Ni': 0.25, 'O': 2.0}",Na:1:1;Cu:2:0.25;Mn:3:0.25;Ni:4:0.25;O:-2:2;Fe:3:0.25;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
106,Na0.75CuO2,FT,3,5.1,3,950,27/11/2024,"{'Na': 0.75, 'Cu': 1, 'O': 2.0}",Na:1:0.75;Cu:2:1;O:-2:2;FinalChargeBalance:-1.25,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
107,Na0.75FeO2,FT,3,5.2,3,950,27/11/2024,"{'Na': 0.75, 'Fe': 1, 'O': 2.0}",Na:1:0.75;Fe:3:1;O:-2:2;FinalChargeBalance:-0.25,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
108,Na0.75MnO2,FT,3,5.3,3,950,27/11/2024,"{'Na': 0.75, 'Mn': 1, 'O': 2.0}",Na:1:0.75;O:-2:2;Mn:3:0.75;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;Mn:3:0.75;Mn:4:0.25;FinalChargeBalance:0.0
109,Na0.75NiO2,FT,3,5.4,3,950,27/11/2024,"{'Na': 0.75, 'Ni': 1, 'O': 2.0}",Na:1:0.75;O:-2:2;Ni:2:0.375;Ni:4:0.625;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;Ni:2:0.375;Ni:4:0.625;FinalChargeBalance:0.0
110,Na0.75Cu0.5Fe0.5O2,FT,3,5.5,3,950,27/11/2024,"{'Na': 0.75, 'Cu': 0.5, 'Fe': 0.5, 'O': 2.0}",Na:1:0.75;Cu:2:0.5;Fe:3:0.5;O:-2:2;FinalChargeBalance:-0.75,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
111,Na0.75Cu0.5Mn0.5O2,FT,3,5.6,3,950,27/11/2024,"{'Na': 0.75, 'Cu': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.75;Cu:2:0.5;O:-2:2;Mn:4:0.417;Mn:7:0.083;FinalChargeBalance:-0.001,Na:1:0.75;O:-2:2.0;Mn:4:0.083;Mn:7:0.417;FinalChargeBalance:0.001
112,Na0.75Cu0.5Ni0.5O2,FT,3,5.7,3,950,27/11/2024,"{'Na': 0.75, 'Cu': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.75;Cu:2:0.5;Ni:4:0.5;O:-2:2;FinalChargeBalance:-0.25,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
113,Na0.75Fe0.5Mn0.5O2,FT,3,5.8,3,950,27/11/2024,"{'Na': 0.75, 'Fe': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.75;Fe:3:0.5;O:-2:2;Mn:3:0.25;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;Mn:4:0.083;Mn:7:0.417;FinalChargeBalance:0.001
114,Na0.75Fe0.5Ni0.5O2,FT,3,5.9,3,950,27/11/2024,"{'Na': 0.75, 'Fe': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.75;Ni:4:0.5;O:-2:2;Fe:2:0.25;Fe:3:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
115,Na0.75Mn0.5Ni0.5O2,FT,3,5.1,3,950,27/11/2024,"{'Na': 0.75, 'Mn': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.75;Mn:3:0.5;O:-2:2;Ni:2:0.125;Ni:4:0.375;FinalChargeBalance:0,Na:1:0.75;Mn:3:0.5;O:-2:2.0;Ni:2:0.125;Ni:4:0.375;FinalChargeBalance:0.0
116,Na0.75Cu1/3Fe1/3Mn1/3O2,FT,3,4.1,3,950,27/11/2024,"{'Na': 0.75, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'O': 2.0}",Na:1:0.75;Cu:2:0.333;Fe:3:0.333;O:-2:2;Mn:4:0.249;Mn:7:0.084;FinalChargeBalance:-0.001,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
117,Na0.75Cu1/3Fe1.3Ni0.3O2,FT,3,4.2,3,950,27/11/2024,"{'Na': 0.75, 'Cu': 0.3333333333333333, 'Fe': 1.3, 'Ni': 0.3, 'O': 2.0}",Na:1:0.75;Cu:1:0.333;Ni:2:0.3;O:-2:2;Fe:1:0.283;Fe:2:1.017;FinalChargeBalance:0,Na:1:0.75;Cu:1:0.333;Ni:2:0.3;O:-2:2.0;Fe:1:0.283;Fe:2:1.017;FinalChargeBalance:0.0
118,Na0.75Cu1/3Mn1/3Ni1/3O2,FT,3,4.3,3,950,27/11/2024,"{'Na': 0.75, 'Cu': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.75;Cu:2:0.333;Ni:4:0.333;O:-2:2;Mn:3:0.08;Mn:4:0.253;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
119,Na0.75Fe1/3Mn1/3Ni1/3O2,FT,3,4.4,3,950,27/11/2024,"{'Na': 0.75, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.75;Mn:3:0.333;Ni:4:0.333;O:-2:2;Fe:2:0.08;Fe:3:0.253;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
120,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,FT,3,5.12,3,950,27/11/2024,"{'Na': 0.75, 'Cu': 0.25, 'Fe': 0.25, 'Mn': 0.25, 'Ni': 0.25, 'O': 2.0}",Na:1:0.75;Cu:2:0.25;Fe:3:0.25;Ni:4:0.25;O:-2:2;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
121,Na0.5CuO2,FT,3,8.1,3,950,28/11/2024,"{'Na': 0.5, 'Cu': 1, 'O': 2.0}",Na:1:0.5;Cu:2:1;O:-2:2;FinalChargeBalance:-1.5,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
122,Na0.5FeO2,FT,3,8.2,3,950,28/11/2024,"{'Na': 0.5, 'Fe': 1, 'O': 2.0}",Na:1:0.5;Fe:3:1;O:-2:2;FinalChargeBalance:-0.5,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
123,Na0.5MnO2,FT,3,8.3,3,950,28/11/2024,"{'Na': 0.5, 'Mn': 1, 'O': 2.0}",Na:1:0.5;O:-2:2;Mn:3:0.5;Mn:4:0.5;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;Mn:3:0.5;Mn:4:0.5;FinalChargeBalance:0.0
124,Na0.5NiO2,FT,3,8.4,3,950,28/11/2024,"{'Na': 0.5, 'Ni': 1, 'O': 2.0}",Na:1:0.5;O:-2:2;Ni:2:0.25;Ni:4:0.75;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;Ni:2:0.25;Ni:4:0.75;FinalChargeBalance:0.0
125,Na0.5Cu0.5Fe0.5O2,FT,3,8.5,3,950,28/11/2024,"{'Na': 0.5, 'Cu': 0.5, 'Fe': 0.5, 'O': 2.0}",Na:1:0.5;Cu:2:0.5;Fe:3:0.5;O:-2:2;FinalChargeBalance:-1,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
126,Na0.5Cu0.5Mn0.5O2,FT,3,8.6,3,950,28/11/2024,"{'Na': 0.5, 'Cu': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.5;Cu:2:0.5;O:-2:2;Mn:4:0.333;Mn:7:0.167;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;Mn:7:0.5;FinalChargeBalance:0.0
127,Na0.5Cu0.5Ni0.5O2,FT,3,8.7,3,950,28/11/2024,"{'Na': 0.5, 'Cu': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.5;Cu:2:0.5;Ni:4:0.5;O:-2:2;FinalChargeBalance:-0.5,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
128,Na0.5Fe0.5Mn0.5O2,FT,3,8.8,3,950,28/11/2024,"{'Na': 0.5, 'Fe': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.5;Fe:3:0.5;O:-2:2;Mn:4:0.5;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;Mn:7:0.5;FinalChargeBalance:0.0
129,Na0.5Fe0.5Ni0.5O2,FT,3,8.9,3,950,28/11/2024,"{'Na': 0.5, 'Fe': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.5;Ni:4:0.5;O:-2:2;Fe:3:0.5;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
130,Na0.5Mn0.5Ni0.5O2,FT,3,8.1,3,950,28/11/2024,"{'Na': 0.5, 'Mn': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.5;Mn:3:0.5;O:-2:2;Ni:4:0.5;FinalChargeBalance:0,Na:1:0.5;Mn:3:0.5;O:-2:2.0;Ni:4:0.5;FinalChargeBalance:0.0
131,Na0.5Cu1/3Fe1/3Mn1/3O2,FT,3,7.1,3,950,28/11/2024,"{'Na': 0.5, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'O': 2.0}",Na:1:0.5;Cu:2:0.333;Fe:3:0.333;O:-2:2;Mn:4:0.165;Mn:7:0.168;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
132,Na0.5Cu13Fe0.3Ni0.3O2,FT,3,7.2,3,950,28/11/2024,"{'Na': 0.5, 'Cu': 13.0, 'Fe': 0.3, 'Ni': 0.3, 'O': 2.0}",Na:1:0.5;Cu:2:0.333;Fe:3:0.333;Ni:4:0.333;O:-2:2;FinalChargeBalance:-0.503,Na:1:0.5;Cu:1:13.0;Ni:2:0.3;O:-2:2.0;Fe:1:10.7;FinalChargeBalance:20.8
133,Na0.5Cu1/3Mn1/3Ni1/3O2,FT,3,7.3,3,950,28/11/2024,"{'Na': 0.5, 'Cu': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.5;Cu:2:0.333;Ni:4:0.333;O:-2:2;Mn:4:0.276;Mn:7:0.057;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
134,Na0.5Fe1/3Mn1/3Ni1/3O2,FT,3,7.4,3,950,28/11/2024,"{'Na': 0.5, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.5;Fe:3:0.333;Ni:4:0.333;O:-2:2;Mn:3:0.163;Mn:4:0.17;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
135,Na0.5Cu0.25Fe0.25Mn0.25Ni0.25O2,FT,3,8.12,3,950,28/11/2024,"{'Na': 0.5, 'Cu': 0.25, 'Fe': 0.25, 'Mn': 0.25, 'Ni': 0.25, 'O': 2.0}",Na:1:0.5;Cu:2:0.25;Fe:3:0.25;Ni:4:0.25;O:-2:2;Mn:4:0.167;Mn:7:0.083;FinalChargeBalance:-0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
136,NaMn2/3Cu1/6Fe1/6O2,FT,4,1.1,12,950,,"{'Na': 1, 'Mn': 0.6666666666666666, 'Cu': 0.16666666666666666, 'Fe': 0.16666666666666666, 'O': 2.0}",Na:1:1;Cu:2:0.167;Fe:3:0.167;O:-2:2;Mn:3:0.503;Mn:4:0.164;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Mn:4:0.556;Mn:7:0.111;FinalChargeBalance:0.001
137,NaNi2/3Fe1/6Cu1/6O2,FT,4,1.2,12,950,,"{'Na': 1, 'Ni': 0.6666666666666666, 'Fe': 0.16666666666666666, 'Cu': 0.16666666666666666, 'O': 2.0}",Na:1:1;Fe:2:0.167;Cu:1:0.167;O:-2:2;Ni:2:0.084;Ni:4:0.583;FinalChargeBalance:0.001,Na:1:1;Fe:2:0.167;Cu:1:0.167;O:-2:2.0;Ni:2:0.083;Ni:4:0.584;FinalChargeBalance:0.002
138,NaMn2/3Ni1/6Cu1/6O2,FT,4,1.3,12,950,,"{'Na': 1, 'Mn': 0.6666666666666666, 'Ni': 0.16666666666666666, 'Cu': 0.16666666666666666, 'O': 2.0}",Na:1:1;Mn:3:0.667;Ni:4:0.167;O:-2:2;Cu:1:0.003;Cu:2:0.164;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Mn:4:0.556;Mn:7:0.111;FinalChargeBalance:0.001
139,NaMn2/3Fe1/6Ni1/6O2,FT,4,1.4,12,950,,"{'Na': 1, 'Mn': 0.6666666666666666, 'Fe': 0.16666666666666666, 'Ni': 0.16666666666666666, 'O': 2.0}",Na:1:1;Mn:3:0.667;Fe:2:0.167;O:-2:2;Ni:2:0.002;Ni:4:0.165;FinalChargeBalance:-0.001,Na:1:1;Mn:3:0.667;Fe:2:0.167;O:-2:2.0;Ni:4:0.167;FinalChargeBalance:0.001
140,NaFe2/3Cu1/6Mn1/6O2,FT,4,1.5,12,950,,"{'Na': 1, 'Fe': 0.6666666666666666, 'Cu': 0.16666666666666666, 'Mn': 0.16666666666666666, 'O': 2.0}",Na:1:1;Fe:3:0.667;Cu:2:0.167;O:-2:2;Mn:3:0.003;Mn:4:0.164;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
141,NaFe2/3Cu1/6Ni1/6O2,FT,4,1.6,12,950,,"{'Na': 1, 'Fe': 0.6666666666666666, 'Cu': 0.16666666666666666, 'Ni': 0.16666666666666666, 'O': 2.0}",Na:1:1;Cu:2:0.167;Ni:4:0.167;O:-2:2;Fe:2:0.003;Fe:3:0.664;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
142,NaNi2/3Cu1/6Mn1/6O2,FT,4,1.7,12,950,,"{'Na': 1, 'Ni': 0.6666666666666666, 'Cu': 0.16666666666666666, 'Mn': 0.16666666666666666, 'O': 2.0}",Na:1:1;Cu:1:0.167;Mn:3:0.167;O:-2:2;Ni:2:0.168;Ni:4:0.499;FinalChargeBalance:0,Na:1:1;Cu:1:0.167;Mn:3:0.167;O:-2:2.0;Ni:2:0.167;Ni:4:0.5;FinalChargeBalance:0.001
143,NaFe2/3Ni1/6Mn1/6O2,FT,4,1.8,12,950,,"{'Na': 1, 'Fe': 0.6666666666666666, 'Ni': 0.16666666666666666, 'Mn': 0.16666666666666666, 'O': 2.0}",Na:1:1;Ni:4:0.167;Mn:3:0.167;O:-2:2;Fe:2:0.17;Fe:3:0.497;FinalChargeBalance:0,Na:1:1;Fe:2:0.667;Mn:3:0.167;O:-2:2.0;FinalChargeBalance:-1.167
144,NaCu2/3Fe1/6Ni1/6O2,FT,4,1.9,12,950,,"{'Na': 1, 'Cu': 0.6666666666666666, 'Fe': 0.16666666666666666, 'Ni': 0.16666666666666666, 'O': 2.0}",Na:1:1;Cu:2:0.667;Fe:3:0.167;Ni:4:0.167;O:-2:2;FinalChargeBalance:-0.497,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
145,NaCu2/3Ni1/6Fe1/6O2,FT,4,1.1,12,950,,"{'Na': 1, 'Cu': 0.6666666666666666, 'Ni': 0.16666666666666666, 'Fe': 0.16666666666666666, 'O': 2.0}",Na:1:1;Cu:2:0.667;Ni:4:0.167;Fe:3:0.167;O:-2:2;FinalChargeBalance:-0.497,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
146,NaCu2/3Ni1/6Mn1/6O2,FT,4,1.11,12,950,,"{'Na': 1, 'Cu': 0.6666666666666666, 'Ni': 0.16666666666666666, 'Mn': 0.16666666666666666, 'O': 2.0}",Na:1:1;Cu:2:0.667;Ni:4:0.167;O:-2:2;Mn:4:0.057;Mn:7:0.11;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
147,NaNi2/3Fe1/6Mn1/6O2,FT,4,1.12,12,950,,"{'Na': 1, 'Ni': 0.6666666666666666, 'Fe': 0.16666666666666666, 'Mn': 0.16666666666666666, 'O': 2.0}",Na:1:1;Fe:2:0.167;Mn:3:0.167;O:-2:2;Ni:2:0.252;Ni:4:0.415;FinalChargeBalance:-0.001,Na:1:1;Fe:2:0.167;Mn:3:0.167;O:-2:2.0;Ni:2:0.25;Ni:4:0.417;FinalChargeBalance:0.001
148,NaCu2/3Ni1/9Mn1/9Fe1/9O2,FT,4,2.1,12,950,,"{'Na': 1, 'Cu': 0.6666666666666666, 'Ni': 0.1111111111111111, 'Mn': 0.1111111111111111, 'Fe': 0.1111111111111111, 'O': 2.0}",Na:1:1;Cu:2:0.667;Ni:4:0.111;Mn:3:0.111;Fe:3:0.111;O:-2:2;FinalChargeBalance:-0.556,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
149,NaFe2/3Cu1/9Mn1/9Ni1/9O2,FT,4,2.2,12,950,,"{'Na': 1, 'Fe': 0.6666666666666666, 'Cu': 0.1111111111111111, 'Mn': 0.1111111111111111, 'Ni': 0.1111111111111111, 'O': 2.0}",Na:1:1;Cu:2:0.111;Mn:3:0.111;Ni:4:0.111;O:-2:2;Fe:3:0.667;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
